,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Review,neg,neu,pos,compound,Polarity
0,0,0,0,0,0,0,0,0,0,0,0,good but need updates and improvements,0.0,0.449,0.551,0.5994,0.5994
1,1,1,1,1,1,1,1,1,1,1,1,worst mobile have bought ever battery draining like hell backup only hours with internet uses even put mobile idle its getting discharged.this biggest lie from amazon lenove which not all expected they are making full saying that battery 4000mah booster charger fake takes least hours fully charged.do n't know how lenovo will survive making full us.please don for this else you will regret like,0.152,0.779,0.07,-0.872,-0.872
2,2,2,2,2,2,2,2,2,2,2,2,when will get cash back .... its already january,0.0,1.0,0.0,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,good,0.0,0.0,1.0,0.4404,0.4404
4,4,4,4,4,4,4,4,4,4,4,4,the worst phone everthey have changed the last phone but the problem still same and the amazon not returning the phone .highly disappointing amazon,0.293,0.596,0.111,-0.8289,-0.8289
5,5,5,5,5,5,5,5,5,5,5,5,only telling n't buyi totally disappointedpoor batterypoor camerawaste money,0.0,1.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,phone awesome but while charging heats allot really genuine reason hate lenovo note,0.223,0.664,0.113,-0.5423,-0.5423
7,7,7,7,7,7,7,7,7,7,7,7,the battery level has worn down,0.306,0.694,0.0,-0.296,-0.296
8,8,8,8,8,8,8,8,8,8,8,8,over hitting problems ... and phone hanging problems lenovo note ... where service station ahmedabad one years warranty can change the phone lenovo,0.094,0.906,0.0,-0.4019,-0.4019
9,9,9,9,9,9,9,9,9,9,9,9,lot glitches dont buy this thing better for some other options,0.0,0.805,0.195,0.4404,0.4404
10,10,10,10,10,10,10,10,10,10,10,10,wrost,0.0,1.0,0.0,0.0,0.0
11,11,11,11,11,11,11,11,11,11,11,11,good phone but charger not working damage within months,0.0,0.565,0.435,0.6588,0.6588
12,12,12,12,12,12,12,12,12,12,12,12,n't purchase this item much heating battery life very poor,0.195,0.805,0.0,-0.5256,-0.5256
13,13,13,13,13,13,13,13,13,13,13,13,have faced the battery problem and motherboard problem with months this the worst mobile life,0.373,0.627,0.0,-0.8591,-0.8591
14,14,14,14,14,14,14,14,14,14,14,14,very good phone slim good battry backup good screen love,0.0,0.337,0.663,0.9297,0.9297
15,15,15,15,15,15,15,15,15,15,15,15,headset not available,0.0,1.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,every time automatic and off kindly suggest what can,0.0,0.745,0.255,0.6269,0.6269
17,17,17,17,17,17,17,17,17,17,17,17,"best product according their prize range and specification comparison another mobile under range and had bought this phone during amazon seal had paid only 10,999 but have also hdpf credit card which was paid only 9998 for ... was the best deal ever which done amazon",0.0,0.776,0.224,0.936,0.936
18,18,18,18,18,18,18,18,18,18,18,18,battery draining very rapidly n't know why tell possible solutions for battery life,0.0,0.876,0.124,0.1779,0.1779
19,19,19,19,19,19,19,19,19,19,19,19,good smartphone,0.0,0.256,0.744,0.4404,0.4404
20,20,20,20,20,20,20,20,20,20,20,20,good,0.0,0.0,1.0,0.4404,0.4404
21,21,21,21,21,21,21,21,21,21,21,21,galery problem and there not atmos speakernormal speaker this phone,0.197,0.803,0.0,-0.4019,-0.4019
22,22,22,22,22,22,22,22,22,22,22,22,excellent camera excellent speed.excellent features.excelent battery,0.0,0.351,0.649,0.8126,0.8126
23,23,23,23,23,23,23,23,23,23,23,23,good product,0.0,0.282,0.718,0.6249,0.6249
24,24,24,24,24,24,24,24,24,24,24,24,not very good product camera are very poor ... not good ... battery draining very quickly ... like odinary phone was fully unexpected product from lenovo,0.207,0.793,0.0,-0.7198,-0.7198
25,25,25,25,25,25,25,25,25,25,25,25,does not have many options like cast screen with without wifi call recording option available does n't even connect mobile hotspot,0.0,0.82,0.18,0.5248,0.5248
26,26,26,26,26,26,26,26,26,26,26,26,they have not gave with phone usb cable,0.0,1.0,0.0,0.0,0.0
27,27,27,27,27,27,27,27,27,27,27,27,awesome phone this price and this second mobile from lenovo fast and display has been improved,0.0,0.725,0.275,0.802,0.802
28,28,28,28,28,28,28,28,28,28,28,28,the best specifications with worst functions ... the worst phone any1 can ever buy,0.336,0.492,0.172,-0.6124,-0.6124
29,29,29,29,29,29,29,29,29,29,29,29,bouth this fon but surprised see that this fon has two speekars but only one ringing other non ringing disappointed,0.151,0.764,0.085,-0.4215,-0.4215
30,30,30,30,30,30,30,30,30,30,30,30,good phone but there some issue displaying colors screen,0.0,0.849,0.151,0.2382,0.2382
31,31,31,31,31,31,31,31,31,31,31,31,before the new update 8.0 oreo worked superbly the battery back-up also superb and there not that much heating problem ... but ... after that update phone got heating simply battery also draining unnecessarily ... really very much disappointed after that update 8.0 oreo ... ðÿ˜ ðÿ˜ â˜¹ï¸,0.068,0.856,0.076,0.1174,0.1174
32,32,32,32,32,32,32,32,32,32,32,32,not good one dual sim are not working poor customer service,0.172,0.645,0.183,0.0382,0.0382
33,33,33,33,33,33,33,33,33,33,33,33,good performance but the battery gets oveheated,0.0,0.755,0.245,0.2382,0.2382
34,34,34,34,34,34,34,34,34,34,34,34,best camera and better backup very bestin this pricefull passa wasole phone,0.0,0.608,0.392,0.7964,0.7964
35,35,35,35,35,35,35,35,35,35,35,35,wonderful best phone,0.0,0.112,0.888,0.836,0.836
